id,post_id,page_name,text,timestamp,likes,comments_count,shares,views,reactions_like,reactions_love,reactions_haha,reactions_wow,reactions_sad,reactions_angry,post_url,media_type,scraped_at
1,aa4bc014edb03043a510707e6e900b39,official_page,Patience Anima Addo,,0,0,0,0,0,0,0,0,0,0,https://www.facebook.com/eddyspizzaghana/posts/pfbid02bDRYZVJ9Yp6vAKzfhp7yVyfgLX5yXgmFghdZZnVSRgS4Jh18JN43znrP3wakT5Yhl?comment_id=3373715939576153&__cft__[0]=AZZ_O7c3Satcg0pF5bKqpNg7fDtTlUY0uNgIO0seEGsKS9wS5agYeaOkTUNvc5CSa-LMrZPxcgK1mK3K9gsSUyRN0FP_W8zY9YzMNQ6w4BsbPJ4sY36KBTkgOZsbP-ye8wusHClZ-32EbA2vhjr-1ZzFqhGNX18jALzUx7vXabqzMm-bhEcDKEwxYR_D18gWiMY&__tn__=R-R,text,2026-03-13T18:05:38.295256
2,c4b98d26ef804f000b0412995fefaf90,search_top,"Pizza place · 70% recommend · ££ · 10.7 km · East Legon Eddys Pizza, East Legon, Ghana · Open now",,0,0,0,0,0,0,0,0,0,0,,text,2026-03-13T18:07:18.099294
3,ba3b119ff0d6d88bb1c4967582bae190,search_top,Ghana's Pizza Production,,0,0,0,0,0,0,0,0,0,0,,text,2026-03-13T18:07:18.103029
4,43d794133880b92be4460da228dbfb12,MINI PIZZA ft NANA’s SHITO ♥️If you need nana’s Shito kindly WhatsApp or Call 0551193561 Website www.nanashito.com Amazon https://a.co/d/9lPp3yJ,MINI PIZZA ft NANA’s SHITO ♥️If you need nana’s Shito kindly WhatsApp or Call 0551193561 Website www.nanashito.com Amazon https://a.co/d/9lPp3yJ,,0,0,0,0,0,0,0,0,0,0,,image,2026-03-13T18:07:55.307976
5,9151e707888baef4c8852cbaac84ceba,Join me to Eat Ghana 🇬🇭 pizza for the first time🙂‍↔️ #fypシ #foryouシ #ghana #travelwithme #viral #pizza,Join me to Eat Ghana 🇬🇭 pizza for the first time🙂‍↔️ #fypシ #foryouシ #ghana #travelwithme #viral #pizza,,0,0,0,0,0,0,0,0,0,0,,image,2026-03-13T18:07:55.310179
6,bdc134706faf688d0e59f5afbd54a840,90 Ghana,RK Special Pizza,,0,0,0,90,0,0,0,0,0,0,,image,2026-03-13T18:07:55.311228
7,8153ef0ee019b32c5e8c3f71a6ad636b,Easy bread pizza 🍕 Ingredients: Bread slices Ketchup (or pizza sauce) Grated mozzarella Green bell pepper Red bell pepper Sweet corn Chicken #pizza #homemadepizza #easyrecipe #fyp #reels #viral #lagos #lekki #lagosnigeria #abuja #ikeja #ibadan #portharcourt #kano #kaduna #enugu #naija #nigeria #africa #ghana #tundeednut #instablog #davido #nollywood #explore #explorepage #reelsviral #homemadepizza,Easy bread pizza 🍕 Ingredients: Bread slices Ketchup (or pizza sauce) Grated mozzarella Green bell pepper Red bell pepper Sweet corn Chicken #pizza #homemadepizza #easyrecipe #fyp #reels #viral #lagos #lekki #lagosnigeria #abuja #ikeja #ibadan #portharcourt #kano #kaduna #enugu #naija #nigeria #africa #ghana #tundeednut #instablog #davido #nollywood #explore #explorepage #reelsviral #homemadepizza,,0,0,0,0,0,0,0,0,0,0,,image,2026-03-13T18:07:55.312050
8,c7fe9a79a3f47cfbcbb8ae124171f89d,We’re here to announce to our amazing customers that Easter promo on any of our products will be lit 🔥🕺🏿💃🏽 @binnaparlour pizza where hospitality get levels 🍕🌯🌮🥳😋 #ghana #accra #trending #viral #fyp #hospitality #pizza #promo #igboamaka #viralvideos #crypto #bitcoin,We’re here to announce to our amazing customers that Easter promo on any of our products will be lit 🔥🕺🏿💃🏽 @binnaparlour pizza where hospitality get levels 🍕🌯🌮🥳😋 #ghana #accra #trending #viral #fyp #hospitality #pizza #promo #igboamaka #viralvideos #crypto #bitcoin,,0,0,0,0,0,0,0,0,0,0,,image,2026-03-13T18:07:55.313099
9,562ac24ef261af355040e68a83823f4b,We live in a country where Eddy's pizza even arrives on time than fire service.... Oohh Ghana😭😭😭😭😭😭,We live in a country where Eddy's pizza even arrives on time than fire service.... Oohh Ghana😭😭😭😭😭😭,,0,0,0,0,0,0,0,0,0,0,https://www.facebook.com/kamal.dansani/videos/10155445269070412/,image,2026-03-13T18:07:55.313854
10,d1aa3b27399a5e017b9c24c86e832f53,"The promo is still on! Grab a delicious box of your favorite pizza at any of our branches and get a box for free! We’re ready! Call for delivery 🛵 service around you.... Call: 📞0243927019 Find Eddy's at: *Ring Road, 66 Ring Road Central, Accra *Eddy's Pizza Osu Branch *Eddy's Pizza Dansoman Branch Dansoman High St, Sahara Junction *Eddy's Pizza Adenta Branch Bond's Square, Adenta Barrier *Eddy's Pizza Spintex Branch Sakumono, Opposite Ecobank Sakumono *Eddy's Pizza Kasoa Branch Second bus stop, Kasoa *Eddy's Pizza Haatso Branch 416 Agbogba - Ashongman Rd, Accra *Eddy's Pizza Lapaz Branch Opposite MyBet Africa Shop, Lapaz *Eddy's Pizza East Legon Branch Above Compu Ghana, American House Junction... *Eddy's Pizza Ashaiman Branch *Eddy's Pizza Afienya Branch Afienya, Tema Close to Life International Church Calvary Chapel *Eddy's Pizza Kwashieman Branch On the Kwashieman - Santa Maria Road Close to PCG Trinity Congregation *Eddy's pizza Tema branch *Other Branches..... #promoday #buyandgetonefree#eddyspizzaofficial🍕🍕","The promo is still on! Grab a delicious box of your favorite pizza at any of our branches and get a box for free! We’re ready! Call for delivery 🛵 service around you.... Call: 📞0243927019 Find Eddy's at: *Ring Road, 66 Ring Road Central, Accra *Eddy's Pizza Osu Branch *Eddy's Pizza Dansoman Branch Dansoman High St, Sahara Junction *Eddy's Pizza Adenta Branch Bond's Square, Adenta Barrier *Eddy's Pizza Spintex Branch Sakumono, Opposite Ecobank Sakumono *Eddy's Pizza Kasoa Branch Second bus stop, Kasoa *Eddy's Pizza Haatso Branch 416 Agbogba - Ashongman Rd, Accra *Eddy's Pizza Lapaz Branch Opposite MyBet Africa Shop, Lapaz *Eddy's Pizza East Legon Branch Above Compu Ghana, American House Junction... *Eddy's Pizza Ashaiman Branch *Eddy's Pizza Afienya Branch Afienya, Tema Close to Life International Church Calvary Chapel *Eddy's Pizza Kwashieman Branch On the Kwashieman - Santa Maria Road Close to PCG Trinity Congregation *Eddy's pizza Tema branch *Other Branches..... #promoday #buyandgetonefree#eddyspizzaofficial🍕🍕",,0,0,0,0,0,0,0,0,0,0,https://www.facebook.com/reel/684174569450758/,image,2026-03-13T18:07:55.314631
