id,post_id,page_name,text,timestamp,likes,comments_count,shares,views,reactions_like,reactions_love,reactions_haha,reactions_wow,reactions_sad,reactions_angry,post_url,media_type,scraped_at
140,21218ff62a20ac4b39b86f08e443e60c,"TranQ WC — Built to Last 5️⃣ Years Warranty ✔️ UF seat cover (strong & hygienic) ✔️ Nano glazing (easy to clean) ✔️ Siphonic flush (powerful & silent) Luxury that speaks quality ✨ 📍 Available at Alanyo Group 🌐 𝗪𝗲𝗯𝘀𝗶𝘁𝗲 : alanyogroup.com ☎️ 𝗛𝗼𝘁𝗹𝗶𝗻𝗲 :+233531978362 📌📌𝗦𝗵𝗼𝘄𝗿𝗼𝗼𝗺 :Weija-Kasoa main road, opposite eddy’s pizza or phastor limited Sampa valley, Accra Ghana 🇬🇭. #TranQ #TranQWC #LuxuryBathroom #BathroomGoals #GhanaHomes #HomeUpgrade #ModernBathroom #AlanyoGroup #ForYouGH","TranQ WC — Built to Last 5️⃣ Years Warranty ✔️ UF seat cover (strong & hygienic) ✔️ Nano glazing (easy to clean) ✔️ Siphonic flush (powerful & silent) Luxury that speaks quality ✨ 📍 Available at Alanyo Group 🌐 𝗪𝗲𝗯𝘀𝗶𝘁𝗲 : alanyogroup.com ☎️ 𝗛𝗼𝘁𝗹𝗶𝗻𝗲 :+233531978362 📌📌𝗦𝗵𝗼𝘄𝗿𝗼𝗼𝗺 :Weija-Kasoa main road, opposite eddy’s pizza or phastor limited Sampa valley, Accra Ghana 🇬🇭. #TranQ #TranQWC #LuxuryBathroom #BathroomGoals #GhanaHomes #HomeUpgrade #ModernBathroom #AlanyoGroup #ForYouGH",2026-03-13T19:49:02.230118,0,0,0,427,0,0,0,0,0,0,,image,2026-03-13T19:49:04.548173
136,b2c8ea9afc73435a08ab6f61471e1276,"Still using an outdated WC? Upgrade to the Console Nano Glazing TranQ WC and enjoy: ✨ Easy-to-clean Nano Glazing ✨ Heavy-duty UF Seat Cover ✨ Strong Concealed Frame System ✨ Stylish Flush Button ✨ 5-Year Warranty Peace of Mind All for just 2,800GH₵ 🔥 Invest once. Enjoy comfort for years. 🌐 𝗪𝗲𝗯𝘀𝗶𝘁𝗲 : alanyogroup.com ☎️ 𝗛𝗼𝘁𝗹𝗶𝗻𝗲 :+233531978362 📌📌𝗦𝗵𝗼𝘄𝗿𝗼𝗼𝗺 :Weija-Kasoa main road, opposite eddy’s pizza or phastor limited Sampa valley, Accra Ghana 🇬🇭. #BathroomLuxury #TranQ #AlanyoGroup #WCUpgrade #ModernLiving #AccraHomes","Still using an outdated WC? Upgrade to the Console Nano Glazing TranQ WC and enjoy: ✨ Easy-to-clean Nano Glazing ✨ Heavy-duty UF Seat Cover ✨ Strong Concealed Frame System ✨ Stylish Flush Button ✨ 5-Year Warranty Peace of Mind All for just 2,800GH₵ 🔥 Invest once. Enjoy comfort for years. 🌐 𝗪𝗲𝗯𝘀𝗶𝘁𝗲 : alanyogroup.com ☎️ 𝗛𝗼𝘁𝗹𝗶𝗻𝗲 :+233531978362 📌📌𝗦𝗵𝗼𝘄𝗿𝗼𝗼𝗺 :Weija-Kasoa main road, opposite eddy’s pizza or phastor limited Sampa valley, Accra Ghana 🇬🇭. #BathroomLuxury #TranQ #AlanyoGroup #WCUpgrade #ModernLiving #AccraHomes",2026-03-13T19:49:02.000595,0,0,0,37000,0,0,0,0,0,0,https://www.facebook.com/reel/2083074835859240/,image,2026-03-13T19:49:04.546002
135,baa3d91301e4fdcb80c99abc9f09549a,"Luxury Marble Basin Promo ✨ Now selling at 5,000GH₵ ✔️ 100cm Marble Basin ✔️ LED Mirror ✔️ Quality Faucet Give your bathroom a modern luxury touch at a promo price. 📍 Visit Alanyo Group showroom today. 🌐 𝗪𝗲𝗯𝘀𝗶𝘁𝗲 : alanyogroup.com ☎️ 𝗛𝗼𝘁𝗹𝗶𝗻𝗲 :+233531978362 📌📌𝗦𝗵𝗼𝘄𝗿𝗼𝗼𝗺 :Weija-Kasoa main road, opposite eddy’s pizza or phastor limited Sampa valley, Accra Ghana 🇬🇭. #AlanyoGroup #BathroomGoals #MarbleBasin #AccraBusiness #HomeUpgrade #PromoDeal","Luxury Marble Basin Promo ✨ Now selling at 5,000GH₵ ✔️ 100cm Marble Basin ✔️ LED Mirror ✔️ Quality Faucet Give your bathroom a modern luxury touch at a promo price. 📍 Visit Alanyo Group showroom today. 🌐 𝗪𝗲𝗯𝘀𝗶𝘁𝗲 : alanyogroup.com ☎️ 𝗛𝗼𝘁𝗹𝗶𝗻𝗲 :+233531978362 📌📌𝗦𝗵𝗼𝘄𝗿𝗼𝗼𝗺 :Weija-Kasoa main road, opposite eddy’s pizza or phastor limited Sampa valley, Accra Ghana 🇬🇭. #AlanyoGroup #BathroomGoals #MarbleBasin #AccraBusiness #HomeUpgrade #PromoDeal",2026-03-13T19:49:01.889652,0,0,0,529,0,0,0,0,0,0,,image,2026-03-13T19:49:04.545488
134,346d539c6511fa11fbbe0d5ed23ec0f9,"TranQ WC Designed for hygiene, durability, and powerful flushing. ✔ UF Seat Cover – strong, durable & scratch-resistant ✔ Nano Glazing – smooth surface that resists stains & germs ✔ Siphonic Flush System – powerful, quiet & water-efficient ✔ 5-Year Warranty – guaranteed quality you can trust Perfect for modern homes, hotels & luxury bathrooms. 💰 Promo Price: GH₵1,850 ☎️ 𝗛𝗼𝘁𝗹𝗶𝗻𝗲 :+233531978362 📌📌𝗦𝗵𝗼𝘄𝗿𝗼𝗼𝗺 :Weija-Kasoa main road, opposite eddy’s pizza or phastor limited Sampa valley, Accra Ghana 🇬🇭. #TranQWC #LuxuryBathroom #GhanaHomes #PremiumWC #BathroomUpgrade","TranQ WC Designed for hygiene, durability, and powerful flushing. ✔ UF Seat Cover – strong, durable & scratch-resistant ✔ Nano Glazing – smooth surface that resists stains & germs ✔ Siphonic Flush System – powerful, quiet & water-efficient ✔ 5-Year Warranty – guaranteed quality you can trust Perfect for modern homes, hotels & luxury bathrooms. 💰 Promo Price: GH₵1,850 ☎️ 𝗛𝗼𝘁𝗹𝗶𝗻𝗲 :+233531978362 📌📌𝗦𝗵𝗼𝘄𝗿𝗼𝗼𝗺 :Weija-Kasoa main road, opposite eddy’s pizza or phastor limited Sampa valley, Accra Ghana 🇬🇭. #TranQWC #LuxuryBathroom #GhanaHomes #PremiumWC #BathroomUpgrade",2026-03-13T19:49:01.839128,0,0,0,28000,0,0,0,0,0,0,https://www.facebook.com/reel/2864702137216135/,image,2026-03-13T19:49:04.544964
133,13d18f2fb1012ccfacc24211b70400dd,"Mega Double Kitchen Sink – Built for Modern Kitchens Premium Double Bowl Kitchen Sink (150 × 46 × 220) Designed for convenience, performance, and durability: • Comes with Two Chopping Boards • Two Pull-Out Faucets for flexible use • Four Strainers for efficient drainage • Strong, durable construction • 5-Year Warranty Guaranteed Promotion Price: 5,500 Cedis Available exclusively at Alanyo Group — Upgrade your kitchen with the complete all-in-one sink solution today. 🌐 𝗪𝗲𝗯𝘀𝗶𝘁𝗲 : alanyogroup.com ☎️ 𝗛𝗼𝘁𝗹𝗶𝗻𝗲 :+233531978362 📌📌𝗦𝗵𝗼𝘄𝗿𝗼𝗼𝗺 :Weija-Kasoa main road, opposite eddy’s pizza or phastor limited Sampa valley, Accra Ghana 🇬🇭. #KitchenUpgrade #DoubleKitchenSink #ModernKitchen #HomeUpgrade #QualityKitchen #AlanyoGroup #PromoDeal","Mega Double Kitchen Sink – Built for Modern Kitchens Premium Double Bowl Kitchen Sink (150 × 46 × 220) Designed for convenience, performance, and durability: • Comes with Two Chopping Boards • Two Pull-Out Faucets for flexible use • Four Strainers for efficient drainage • Strong, durable construction • 5-Year Warranty Guaranteed Promotion Price: 5,500 Cedis Available exclusively at Alanyo Group — Upgrade your kitchen with the complete all-in-one sink solution today. 🌐 𝗪𝗲𝗯𝘀𝗶𝘁𝗲 : alanyogroup.com ☎️ 𝗛𝗼𝘁𝗹𝗶𝗻𝗲 :+233531978362 📌📌𝗦𝗵𝗼𝘄𝗿𝗼𝗼𝗺 :Weija-Kasoa main road, opposite eddy’s pizza or phastor limited Sampa valley, Accra Ghana 🇬🇭. #KitchenUpgrade #DoubleKitchenSink #ModernKitchen #HomeUpgrade #QualityKitchen #AlanyoGroup #PromoDeal",2026-03-13T19:49:01.729307,0,0,0,938,0,0,0,0,0,0,https://www.facebook.com/reel/924197490157151/,image,2026-03-13T19:49:04.544422
131,5f311be2a5973aab516325d5f4217563,Visit us at Adenta-Dodowa road after Eddy's pizza #ankara #ghanafashion #casualstyle #accrafashion #bubu #wedding #accraweddings #ghanamomsinbusiness #ghanamoms #shortdress #ShortDressStyle,Visit us at Adenta-Dodowa road after Eddy's pizza #ankara #ghanafashion #casualstyle #accrafashion #bubu #wedding #accraweddings #ghanamomsinbusiness #ghanamoms #shortdress #ShortDressStyle,2026-03-13T19:49:01.145010,0,0,0,333,0,0,0,0,0,0,,image,2026-03-13T19:49:04.543273
130,fa98ac26c94409c68e98090bb526999e,"Happy Monday, Ghana! As the week begins, we at Providence Specialist Hospital want to remind you that taking care of your heart is always in season. ❤️ Whether you're an adult facing heart concerns or a parent looking for the best care for your little one, we're here for you. **Here at Providence, we specialize in:** 1. Adult and children's heart surgery: Our team of expert cardiac surgeons has extensive experience in open-heart surgery, minimally invasive procedures, and more. 2. Diagnosis and treatment of heart-related problems: From arrhythmias and high blood pressure to valve disease and congenital heart defects, we offer comprehensive diagnostics and personalized treatment plans. 3. A warm and compassionate environment: We understand that heart concerns can be stressful, so we strive to create a welcoming and supportive atmosphere for our patients and their families. Here are just a few reasons to choose Providence for your heart care: Experienced and dedicated team:** Our doctors, nurses, and staff are all committed to providing the highest quality care. State-of-the-art technology: We utilize the latest advancements in medical technology to ensure the best possible outcomes for our patients. Convenient location: We're easily accessible in New Achimota, Accra, right next to Eddy's Pizza and Highway View Bar. Don't wait to prioritize your heart health! Contact us today at 0208608496 or 0302435388 to schedule an appointment or learn more about our services. In the comments below, tell us what you do to keep your heart healthy! Don't forget to share this post with your loved ones who might benefit from our expertise!","Happy Monday, Ghana! As the week begins, we at Providence Specialist Hospital want to remind you that taking care of your heart is always in season. ❤️ Whether you're an adult facing heart concerns or a parent looking for the best care for your little one, we're here for you. **Here at Providence, we specialize in:** 1. Adult and children's heart surgery: Our team of expert cardiac surgeons has extensive experience in open-heart surgery, minimally invasive procedures, and more. 2. Diagnosis and treatment of heart-related problems: From arrhythmias and high blood pressure to valve disease and congenital heart defects, we offer comprehensive diagnostics and personalized treatment plans. 3. A warm and compassionate environment: We understand that heart concerns can be stressful, so we strive to create a welcoming and supportive atmosphere for our patients and their families. Here are just a few reasons to choose Providence for your heart care: Experienced and dedicated team:** Our doctors, nurses, and staff are all committed to providing the highest quality care. State-of-the-art technology: We utilize the latest advancements in medical technology to ensure the best possible outcomes for our patients. Convenient location: We're easily accessible in New Achimota, Accra, right next to Eddy's Pizza and Highway View Bar. Don't wait to prioritize your heart health! Contact us today at 0208608496 or 0302435388 to schedule an appointment or learn more about our services. In the comments below, tell us what you do to keep your heart healthy! Don't forget to share this post with your loved ones who might benefit from our expertise!",2026-03-13T19:49:01.091578,0,0,0,67,0,0,0,0,0,0,,image,2026-03-13T19:49:04.542655
129,26c677e91506d439f34ff052eb6db146,"Luxury made simple ✨ Transform your walls with TranQ Marble Sheets — waterproof, easy to install, and built for that 5-star finish 💎 Perfect for bathrooms, kitchens & living spaces. 🌐 𝗪𝗲𝗯𝘀𝗶𝘁𝗲 : alanyogroup.com ☎️ 𝗛𝗼𝘁𝗹𝗶𝗻𝗲 :+233531978362 📌📌𝗦𝗵𝗼𝘄𝗿𝗼𝗼𝗺 :Weija-Kasoa main road, opposite eddy’s pizza or phastor limited Sampa valley, Accra Ghana 🇬🇭. #TranQ #MarbleSheets #LuxuryHomes #InteriorDesign #GhanaHomes","Luxury made simple ✨ Transform your walls with TranQ Marble Sheets — waterproof, easy to install, and built for that 5-star finish 💎 Perfect for bathrooms, kitchens & living spaces. 🌐 𝗪𝗲𝗯𝘀𝗶𝘁𝗲 : alanyogroup.com ☎️ 𝗛𝗼𝘁𝗹𝗶𝗻𝗲 :+233531978362 📌📌𝗦𝗵𝗼𝘄𝗿𝗼𝗼𝗺 :Weija-Kasoa main road, opposite eddy’s pizza or phastor limited Sampa valley, Accra Ghana 🇬🇭. #TranQ #MarbleSheets #LuxuryHomes #InteriorDesign #GhanaHomes",2026-03-13T19:49:00.921611,0,0,0,1800,0,0,0,0,0,0,,image,2026-03-13T19:49:04.542056
127,3f3ce82be5c0ae616232a9c32d698c2c,"I’m at loggerheads with pizza, pasta 🍝, noodles and the rest! What is food to mankind 😋. Ghana man and egg 🥚 is like a lizard with push ups 😂. #facebookreelsviralviralシfypシ゚ #FacebookPage #food #foodie #facebookreelsviral #foodlover","I’m at loggerheads with pizza, pasta 🍝, noodles and the rest! What is food to mankind 😋. Ghana man and egg 🥚 is like a lizard with push ups 😂. #facebookreelsviralviralシfypシ゚ #FacebookPage #food #foodie #facebookreelsviral #foodlover",2026-03-13T19:49:00.274226,0,0,0,25,0,0,0,0,0,0,,image,2026-03-13T19:49:04.541022
126,7c7be58db5f3e3b341ffb75da5b0b96c,"We eat what they eat , this is why Gasmilla the international fisherman is so passionate about sanitation especially keeping the coastal clean. Come join Gasmilla and his team as we clean the communities and take their rubbish for them for free on the 14th of August, we starting with James Town 6 am 10am . And don't forget there's going to be a kenkey party 🥳 Zoomlion Ghana Limited Ghandour Cosmetics Ltd Eddy's Pizza Tampico Ghana Onga Ghana Hook And Line Weku🙏🙏🎣🏊 #YouthEmpowermentProgram #unicycle #unicefgh #wastemanagementcompany #plasticpollution #PlasticPunch #CleanGhana #unpd #WorldBank #plasticfree #ghanaeducationservice #MinistryofTourism #ministryofeducation #MinistryOfCulture #sanitation #SanitationServices #sanitationandwater #WaterIsLife #rubbishbin #rubbishremoval #rubbish #wastemanagement","We eat what they eat , this is why Gasmilla the international fisherman is so passionate about sanitation especially keeping the coastal clean. Come join Gasmilla and his team as we clean the communities and take their rubbish for them for free on the 14th of August, we starting with James Town 6 am 10am . And don't forget there's going to be a kenkey party 🥳 Zoomlion Ghana Limited Ghandour Cosmetics Ltd Eddy's Pizza Tampico Ghana Onga Ghana Hook And Line Weku🙏🙏🎣🏊 #YouthEmpowermentProgram #unicycle #unicefgh #wastemanagementcompany #plasticpollution #PlasticPunch #CleanGhana #unpd #WorldBank #plasticfree #ghanaeducationservice #MinistryofTourism #ministryofeducation #MinistryOfCulture #sanitation #SanitationServices #sanitationandwater #WaterIsLife #rubbishbin #rubbishremoval #rubbish #wastemanagement",2026-03-13T19:48:59.984435,0,0,0,1000,0,0,0,0,0,0,,image,2026-03-13T19:49:04.540480
