comment_id,video_id,author_name,author_channel_id,text,likes,published_at,updated_at,is_reply,parent_id,reply_count,scraped_at
UgytbHXipuxmYhYYxyd4AaABAg,YQPc-6pfCHI,@evelove5214,,"Thank you so much ma 
I’m so blessed 
You are a woman of many wisdom",0,2026-03-17T23:45:04.274348+00:00,,0,,0,2026-03-17T22:45:11.331604
UgwXL4sDH2Xvpuu0FO94AaABAg,J52vmTBpqBs,@dallas5159,,55:1.04:01 ❤‍🔥,0,2026-03-17T23:39:45.050179+00:00,,0,,0,2026-03-17T23:21:06.107640
Ugz1kHjwPoknGt0v7op4AaABAg,YQPc-6pfCHI,@OdileDzenyuy,,"Hmmmm, this conversation is sooo deep. Thank you mama Cathy and the host.  I pray my partner listens to this and be blessed by this",0,2026-03-17T21:45:04.274308+00:00,,0,,0,2026-03-17T22:45:11.326404
UgxSEmGRB81uzt5Pqqx4AaABAg,J52vmTBpqBs,@jonathanadodoo4423,,This is particularly interesting for me because I’m currently based in Vietnam and I’m looking to enter the importation business. I have a friend in Ghana who’s connected to retailers with money ready to import goods from Vietnam. Would really love to connect to see what I can do to be of service to your business,0,2026-03-17T19:39:43.810213+00:00,,0,,0,2026-03-17T23:21:06.079150
UgyGULlglryfDs502M14AaABAg,YQPc-6pfCHI,@Duchess16,,"Great host, great guest. Too many lessons",0,2026-03-17T18:45:06.137820+00:00,,0,,0,2026-03-17T22:45:11.360018
Ugw36LwTvIXORbJcsXt4AaABAg,YQPc-6pfCHI,@Duchess16,,"Derrick, did I hear you say you've been married for 10 yrs? Woooow, u look sooo young. Congratulations 🎉🎉",0,2026-03-17T18:45:04.274289+00:00,,0,,0,2026-03-17T22:45:11.324271
UgzrmyjDGh-1NiMYdgd4AaABAg,J52vmTBpqBs,@Kotibrim,,"Dude of you made a million dollars,  you won't be on social media!!!",0,2026-03-17T18:39:45.050219+00:00,,0,,0,2026-03-17T23:21:06.111312
Ugxk4QfiIQW6f1Mz-Wp4AaABAg,YQPc-6pfCHI,@SophiaSholaja,,Powerful. She did an excellent job.,1,2026-03-17T15:45:04.274322+00:00,,0,,0,2026-03-17T22:45:11.328469
UgzgIBF89yMBx8s_TQ54AaABAg,YQPc-6pfCHI,@timothyotoo8851,,Great IQ questions and answers!! That’s why I subscribed,0,2026-03-17T13:45:04.907640+00:00,,0,,0,2026-03-17T22:45:11.344398
UgwWtxPG3_ZH46YCWVR4AaABAg,J52vmTBpqBs,@mariankwaw-yankson9392,,"""Slow is fast."" That's my takeaway. Thank you, Derrick,  for always bringing us great content. God bless you.",0,2026-03-17T11:39:43.171181+00:00,,0,,0,2026-03-17T23:21:06.060722
UgyFdLgBeR4KqxJuGAN4AaABAg,J52vmTBpqBs,@Kinsground,,Why mute if you’re helping other I don’t get it,0,2026-03-17T10:39:45.049938+00:00,,0,,0,2026-03-17T23:21:06.104085
UgzLLTguVPn4ZUtn_tx4AaABAg,cpOlNdXQlxY,@Danso1tv,,Very very motivational,0,2026-03-17T09:44:49.908927+00:00,,0,,0,2026-03-17T22:44:49.936775
UgwXzzaoCrxFxZf5E_F4AaABAg,xwLrHUwGtJM,@eddywest6028,,ebe the camera quality wey good or ebe Ama wey dey bee cos eii,0,2026-03-17T03:39:58.185811+00:00,,0,,0,2026-03-17T23:27:23.154110
UgwOBCTxb4PkyHybDDh4AaABAg,YQPc-6pfCHI,@chi-ubaasogwa8476,,"I noticed something, it's subtle but men indirectly takes most of the blame even for their partners misbehavior. I barely heard a scenario where the women were accorded responsibility solely for their actions but alot of that on the man's side. I have no issue with anything she said it's just the subtle narrative of either blaming men or men taking responsibility on both sides which I believe it's not healthy",0,2026-03-17T02:45:10.801528+00:00,,0,,0,2026-03-17T22:45:11.428553
Ugx_N-csFGXPMjnFy4B4AaABAg,YQPc-6pfCHI,@CreativeT3206,,Amazing conversation. She's a well.,0,2026-03-17T02:45:06.903517+00:00,,0,,0,2026-03-17T22:45:11.366176
Ugxon-PqNwkHjH-wyHl4AaABAg,o0jB6yttOv0,@gabrielquarm6588,,What's her name and some products ?,0,2026-03-17T02:44:58.610192+00:00,,0,,0,2026-03-17T22:44:59.240703
Ugy0JACyv5pDdJS45cd4AaABAg,xwLrHUwGtJM,@Hauweeiy,,Make it to the end 🔥🔥,0,2026-03-17T01:39:53.735263+00:00,,0,,0,2026-03-17T23:27:23.097294
UgwRr_itawtP4HMbSIp4AaABAg,xwLrHUwGtJM,@isaacmensah3883,,The editing is crazyyyyy. Love love love it ❤,0,2026-03-17T01:39:51.486578+00:00,,0,,0,2026-03-17T23:27:23.055827
Ugyp8Kegudo3guRyd_h4AaABAg,J52vmTBpqBs,@lizm2220,,a very good interview,0,2026-03-17T01:39:45.050284+00:00,,0,,0,2026-03-17T23:21:06.113426
UgwEqGdDlGACzaaLBTN4AaABAg,J52vmTBpqBs,@charlesbruce6175,,"All Ghananians, no matter his or her Status in life, have this ""strange"" mentality to live like a ""Lord""(Broni). It became inherent in us. This is the effect of colonisation. So as soon as we get into a Position where he/she comes into contact with money, this ""Lord"" mentality clicks into place. And we tell ourselves ""this is it!"" So he/she takes the opportunity to ""steal"" some of the money to buy the latest clothes, shoes, eat ""good"" food. This happens at every level of any profession. From a factory worker, a messenger in an office, Taxi Driver, Politician, infact every Ghananian. Why do Businesses of ""Rich"" people collapse after their demise. A Kwahu Businessman I knew went everywhere with a Charted Car, he died, and the first thing his Wofasie who inherited him did was to buy the latest Benz on the Market! Also a driver I worked with in a government department, on retirement, had his daughter bought him a Taxi, to take care of himself, within a few months the Car broke down and he had no money to repair it -all because he lived like a Lord/Rich man.",0,2026-03-17T01:39:45.050211+00:00,,0,,0,2026-03-17T23:21:06.110775
Ugy68-RP-oVqZM1wspR4AaABAg,J52vmTBpqBs,@samboafo9329,,Bless you,0,2026-03-17T01:39:44.417980+00:00,,0,,0,2026-03-17T23:21:06.089101
Ugzuxawr3Qo_sFVu1HR4AaABAg,J52vmTBpqBs,@Bigbossfilmworks,,Great show,0,2026-03-17T01:39:43.810262+00:00,,0,,0,2026-03-17T23:21:06.083169
UgzawObP17Qk0Cu00eJ4AaABAg,J52vmTBpqBs,@kazeemogundele9135,,"Thanks for this inspirational conversation. Its funny , my next read is "" Too good they can't you- by Carl Newport"". I have it right in front of me..",0,2026-03-17T01:39:43.810253+00:00,,0,,0,2026-03-17T23:21:06.081449
UgySRWBD55R1r08j6Bh4AaABAg,J52vmTBpqBs,@solventtechnologyartsandfi6613,,I love the best advice; Slow is Fast😅,1,2026-03-17T01:39:43.810203+00:00,,0,,0,2026-03-17T23:21:06.077452
UgxwzauZosYTzpZFQsB4AaABAg,J52vmTBpqBs,@FolasadeOgundeji,,We need to build good and accurate systems   around our businesses,0,2026-03-17T01:39:43.810165+00:00,,0,,0,2026-03-17T23:21:06.075361
Ugy5zb4xGaQFL3gX0dd4AaABAg,J52vmTBpqBs,@HistorytalesAfrica_AY,,"Thank you Derrick. Am at a point where i feel am stuck, but listening to this podcast am gonna start all over again.",0,2026-03-17T01:39:43.810099+00:00,,0,,0,2026-03-17T23:21:06.073234
