comment_id,video_id,author_name,author_channel_id,text,likes,published_at,updated_at,is_reply,parent_id,reply_count,scraped_at
UgwkkNiv6bEWHBDnorF4AaABAg,xcXfcXJvMXg,@tonyrosam,,Robert is super Fing intelligent. Jesus..,0,2026-03-18T03:50:30.595645+00:00,,0,,0,2026-03-17T23:51:38.275532
UgykiDWHEdCKVColrml4AaABAg,fpETS6q1Hww,@cherrlyn381,,"Two concerns. (1) For decades I've heard that most people lead boring lives, and thus look for something outside themselves to add meaning. If that's true, how will they monetize their boring ""personal intellectual property""?  (2) Most people don't want to be entrepreneurs. They don't want to take the risks, and they hate personal promotion and sales. So what are these two categories of people going to do in the, not to distant, future?",0,2026-03-18T03:48:56.486352+00:00,,0,,0,2026-03-17T23:51:12.800408
UgxIGlwewL4_U_eKne54AaABAg,nrwNSSyKuD4,@510jm,,A minor point of clarification at 22:54. The man who carried Jesus’ cross is Simon of Cyrene (Luke 23:26). Joseph of Arimathia shows up later in verse 50 to ask Pilate for the body of Jesus.,0,2026-03-18T03:44:46.276967+00:00,,0,,0,2026-03-17T23:52:00.876742
UgxxgLHpVnMzZj8TQoB4AaABAg,xcXfcXJvMXg,@deejayrelapz6903,,Question if you simulated it means you pre predicted it right.,0,2026-03-18T03:38:20.250984+00:00,,0,,0,2026-03-17T23:51:38.242256
UgztZUnL46gZfuEKgrV4AaABAg,nrwNSSyKuD4,@MusiColeMF,,Why is the term “Judeo-Christian” still a thing? One has nothing to do with the other anymore,0,2026-03-18T03:37:49.150198+00:00,,0,,0,2026-03-17T23:52:00.910723
Ugz8hBOnujPa0d5p8O54AaABAg,xcXfcXJvMXg,@Sayed-u1r,,شكراً لك جزيلاً,0,2026-03-18T03:33:22.515900+00:00,,0,,0,2026-03-17T23:51:38.274384
UgyZlVM6bKJJxBTsZj54AaABAg,xcXfcXJvMXg,@bryjb10,,Funny how he said Israel invaded Lebanon and that’s how Hezbollah was born but forgot to mention that they went in to get rid of the PLO that kept attacking them.,0,2026-03-18T03:33:20.250866+00:00,,0,,0,2026-03-17T23:51:38.240863
Ugxn_BwtmKZtxxvRZwV4AaABAg,nrwNSSyKuD4,@Wellnessbylu,,Great podcast! Came back to Christ last year. Around 5 people I know did the same thing…. Something incredible is happening...,0,2026-03-18T03:32:46.277043+00:00,,0,,0,2026-03-17T23:52:00.877181
UgxnRU5n2eVij1S-1eF4AaABAg,fpETS6q1Hww,@james2749,,Would love to hear his evidence that wealthy people are leaving NYC after Mamdani started,0,2026-03-18T03:28:57.888783+00:00,,0,,0,2026-03-17T23:51:12.826169
UgzXibaodxvmuPssFf14AaABAg,fpETS6q1Hww,@jward8868,,"The whole of this discussion is about only one thing….MINDSET.
Optimism is a wonderful thing but that’s not human reality, at least 
not in the real short 3 year term world.
So without the MINDSET chaos is guaranteed to result.
Net result - Inefficient and inappropriate Government will try and fill the chaotic void
More chaos will result. So will so called ‘society’  survive. Unlikely
So let’s have a sensible, realistic and practical d iscussion about the negative ’what ifs’  guaranteed to affect everyone with the inability to adopt the ‘right’ MINDSET.",1,2026-03-18T03:28:57.888668+00:00,,0,,0,2026-03-17T23:51:12.821361
UgxHjYwZO2Hn9M3E_vJ4AaABAg,nrwNSSyKuD4,@rex_reaves,,"Christian here, not thrilled with his answer on tnr problem of evil. He seems to sidestep the issue rather than taking it head on.",0,2026-03-18T03:26:48.432728+00:00,,0,,0,2026-03-17T23:52:00.905734
UgzKIdnk6hHikMgqotp4AaABAg,nrwNSSyKuD4,@Leytheg,,The journey to know Jesus is the most challenging and wonderful journey any human being can ever embark on,1,2026-03-18T03:25:44.122544+00:00,,0,,0,2026-03-17T23:52:00.846072
