id,comment_id,video_id,author_name,text,likes,timestamp,is_reply,parent_id,scraped_at
1,12384ff4c4a019edc5ea47feb6896a61,7588531595271736632,,Vibleeeeeeee😍,0,,0,,2026-03-14T16:05:35.789879
2,17ec7c01ed47713434efe8c730f21211,7588531595271736632,,Awww Missed Y’all 💗,0,,0,,2026-03-14T16:05:35.791256
3,559fcd9ad6dcaa5b68ead5cfd042c460,7588531595271736632,,Bby,0,,0,,2026-03-14T16:05:35.790658
4,9b8c1935e9b5c90c06102dd24176a05f,7588531595271736632,,Miss yall already 😍,0,,0,,2026-03-14T16:05:35.791800
5,8fd853136d927fde3f84d578b40c9807,7588531595271736632,,A time was had ♥️❤️,0,,0,,2026-03-14T16:05:35.792396
6,ff3ace4d59c5744cce1a2801e53d35dc,7588531595271736632,,🥰🥰🥰,0,,0,,2026-03-14T16:05:35.792879
7,0327bb91284612fd8f1f0e02fca00214,7588531595271736632,,🥰🥰🥰🥰🥰,0,,0,,2026-03-14T16:05:35.793306
8,77a09dc25e296421c268bb15d2bb3096,7588531595271736632,,❤️❤️❤️,0,,0,,2026-03-14T16:05:35.793727
9,015829caf22e8153916939f2c80356f1,7588531595271736632,,❤❤❤,0,,0,,2026-03-14T16:05:35.794173
10,c7f4fe057d4fd25f80ba6b9d6269cb28,7588531595271736632,,❤❤,0,,0,,2026-03-14T16:05:35.794579
11,9b30509ae0585bf8e28e65c10997c157,7615599183633976583,,Are you sure???,0,,0,,2026-03-14T19:14:25.992131
12,016dbab0142cdd5fd8a14d26073a7c30,7615599183633976583,,How much for family size,0,,0,,2026-03-14T19:14:25.993796
13,3d983bd8b3445fa02ef370d87283e0a7,7615599183633976583,,unclee I miss you how is uncle kofi,0,,0,,2026-03-14T19:14:25.995171
14,70aac1c1f45585afa1636aa04ec2344c,7615599183633976583,,which place it located,0,,0,,2026-03-14T19:14:25.994671
15,c8abf0a836d381254db22331e2da305a,7615599183633976583,,how much is the small size,0,,0,,2026-03-14T19:14:25.995766
16,6ee28aa2423af0a7387e6ab5987dc0e1,7615599183633976583,,how much please,0,,0,,2026-03-14T19:14:25.996449
17,2fbc35312182a3c880a03086334c61d1,7615599183633976583,,When are getting branch in tardi,0,,0,,2026-03-14T19:14:25.997046
18,3b6d5180b7f06ec9e626485ece038162,7615599183633976583,,how much pls,0,,0,,2026-03-14T19:14:25.997570
19,ae7832553802e0b26da9612dfec533d0,7615599183633976583,,Locations plsss,0,,0,,2026-03-14T19:14:26.000533
20,436a74ae470f873f334bb1222a953b95,7615599183633976583,Kakra Boateng,@Kakra Boateng 😁😁,0,,0,,2026-03-14T19:14:26.001158
21,42df33565c84cc28049ffa24c2287e81,7605278593505152274,,Masssa you will call them they will not pick,0,,0,,2026-03-14T19:14:43.840095
22,fcdd2796e382ee33d1381aa1e56fce7b,7605278593505152274,,not all branches runs the buy one get one free,0,,0,,2026-03-14T19:14:43.842187
23,ec277b644d0991dca8c90aaa315c9924,7605278593505152274,,eddys pizza in this biiiggggg 2026?,0,,0,,2026-03-14T19:14:43.842935
24,8f6c8a15ef03ab835d59b1d4453db82c,7605278593505152274,,I ordered for buy one get one free and the only brought one shhhh 😩,0,,0,,2026-03-14T19:14:43.844150
25,0bb4dff423d67082364e4edf7078cedd,7605278593505152274,,How much,0,,0,,2026-03-14T19:14:43.845357
26,54bcfbd8ecd318f010d8784be204474b,7605278593505152274,,We are running thereee🥰🥰🥰,0,,0,,2026-03-14T19:14:43.843586
27,ac87eea0a592f18514cacd14cf289a5b,7605278593505152274,,Everything but the price 😁,0,,0,,2026-03-14T19:14:43.844828
28,748abc1114651b49cdc77e81cc03872f,7605278593505152274,,papas all the way,0,,0,,2026-03-14T19:14:43.846027
29,eff5f2d4fdbce47d0fb26a905581ca02,7605278593505152274,,do u have branch close to Adom Estate kasoa,0,,0,,2026-03-14T19:14:43.847252
